Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
18,Female,Scarf,Outerwear,20,Oregon,XL,Turquoise,Spring,3.5,No,Standard,No,No,18,Cash,Every 3 Months
66,Male,Coat,Clothing,31,Massachusetts,M,Red,Winter,3.3,No,Express,Yes,Yes,48,Venmo,Bi-Weekly
69,Female,Sneakers,Clothing,97,Georgia,M,Red,Winter,3.2,Yes,2-Day Shipping,No,No,49,Cash,Weekly
28,Male,Sandals,Clothing,99,Illinois,XL,Yellow,Winter,3.9,Yes,Standard,No,Yes,43,Credit Card,Bi-Weekly
62,Male,Sweater,Accessories,58,Texas,M,Purple,Summer,3.7,Yes,Express,No,No,30,PayPal,Quarterly
45,Female,Dress,Clothing,85,Texas,M,Gray,Summer,3.3,No,2-Day Shipping,No,No,43,Cash,Bi-Weekly
39,Female,Hoodie,Clothing,91,Illinois,XL,Beige,Fall,4.3,Yes,Next Day Air,No,Yes,6,Credit Card,Quarterly
35,Female,Pants,Footwear,46,Arizona,L,Red,Spring,3.0,Yes,Express,Yes,No,22,Cash,Weekly
27,Female,Coat,Accessories,78,Oregon,XL,Blue,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
31,Female,Shirt,Accessories,63,Oregon,M,Maroon,Winter,2.5,No,Standard,No,Yes,3,Debit Card,Weekly
66,Male,Socks,Clothing,66,Washington,L,Blue,Fall,4.7,Yes,Express,Yes,Yes,9,Venmo,Weekly
39,Male,Socks,Accessories,26,New York,M,Red,Winter,4.3,Yes,Next Day Air,No,Yes,40,PayPal,Monthly
24,Female,Shorts,Footwear,48,Kentucky,M,Red,Spring,3.4,Yes,Free Shipping,No,No,1,Debit Card,Every 3 Months
23,Female,Shirt,Footwear,78,Maine,S,Blue,Winter,3.5,Yes,Standard,No,Yes,48,Credit Card,Every 3 Months
42,Male,Hat,Outerwear,62,Pennsylvania,S,Red,Summer,3.5,Yes,Standard,No,Yes,37,PayPal,Quarterly
24,Male,Handbag,Footwear,91,Ohio,S,Gray,Fall,3.5,No,Next Day Air,Yes,Yes,2,Cash,Weekly
40,Female,Scarf,Outerwear,99,Colorado,M,Beige,Fall,4.4,Yes,Express,No,Yes,20,PayPal,Every 3 Months
40,Female,Hat,Clothing,96,Arizona,XL,Black,Summer,3.5,Yes,Free Shipping,Yes,Yes,25,Venmo,Annually
56,Male,Dress,Outerwear,80,Florida,XL,Black,Summer,3.3,No,Next Day Air,Yes,No,13,Credit Card,Annually
34,Male,Hat,Outerwear,66,Arizona,M,Black,Summer,5.0,Yes,2-Day Shipping,No,Yes,31,Debit Card,Monthly
69,Male,Blouse,Clothing,77,Oregon,S,Beige,Winter,2.7,No,2-Day Shipping,Yes,No,25,Credit Card,Every 3 Months
20,Male,Jeans,Outerwear,34,New York,M,White,Summer,4.7,No,Free Shipping,No,No,25,Debit Card,Annually
64,Female,Hoodie,Footwear,32,Arizona,XL,Purple,Spring,5.0,No,Next Day Air,No,Yes,3,Venmo,Weekly
47,Male,Handbag,Clothing,48,Michigan,XL,Maroon,Fall,2.8,No,2-Day Shipping,Yes,Yes,45,Venmo,Quarterly
52,Male,Scarf,Accessories,20,Washington,XL,Yellow,Fall,4.8,No,Standard,Yes,Yes,44,Debit Card,Every 3 Months
25,Male,Coat,Outerwear,63,Illinois,M,Maroon,Spring,2.9,Yes,2-Day Shipping,No,No,18,Credit Card,Bi-Weekly
42,Female,Shorts,Footwear,65,Pennsylvania,XL,White,Fall,4.4,No,Express,Yes,Yes,45,Venmo,Every 3 Months
23,Male,T-shirt,Accessories,57,Colorado,XL,Maroon,Summer,4.9,Yes,Free Shipping,Yes,No,25,Debit Card,Annually
53,Female,Sweater,Clothing,90,Texas,XL,Red,Fall,4.4,Yes,Free Shipping,No,No,22,Venmo,Every 3 Months
36,Female,Sweater,Clothing,86,Massachusetts,XL,Turquoise,Spring,4.4,Yes,Next Day Air,Yes,Yes,24,Credit Card,Monthly
58,Female,Dress,Clothing,67,Arizona,L,Gray,Summer,3.4,Yes,2-Day Shipping,Yes,Yes,33,PayPal,Weekly
57,Female,Hat,Footwear,33,Illinois,M,Pink,Winter,4.3,Yes,Next Day Air,Yes,No,28,Debit Card,Bi-Weekly
41,Female,Hat,Accessories,25,Pennsylvania,M,Red,Winter,4.1,Yes,Standard,No,Yes,27,Debit Card,Quarterly
54,Female,Dress,Clothing,41,Michigan,XL,Gray,Summer,3.4,Yes,Free Shipping,No,Yes,46,PayPal,Every 3 Months
30,Male,Jewelry,Footwear,83,Florida,S,Green,Fall,2.6,No,Next Day Air,Yes,No,22,Cash,Annually
63,Male,Blouse,Footwear,37,Oregon,XL,Beige,Spring,3.5,No,Next Day Air,Yes,Yes,9,Venmo,Monthly
22,Male,Sandals,Accessories,72,Illinois,M,Blue,Summer,3.6,No,Standard,No,No,23,Debit Card,Bi-Weekly
20,Male,Pants,Clothing,33,Kentucky,L,Purple,Spring,3.1,No,Express,Yes,Yes,47,Venmo,Every 3 Months
60,Female,Sneakers,Clothing,52,Kentucky,XL,Pink,Winter,3.7,No,Standard,Yes,No,17,Credit Card,Annually
32,Male,Jacket,Outerwear,98,Washington,L,Blue,Summer,4.8,Yes,Standard,No,Yes,36,Credit Card,Bi-Weekly
67,Male,T-shirt,Clothing,45,Oregon,S,White,Summer,3.4,No,Standard,Yes,No,13,Debit Card,Weekly
36,Male,Hoodie,Accessories,44,Pennsylvania,S,Gray,Spring,4.3,Yes,2-Day Shipping,No,Yes,32,Debit Card,Annually
23,Male,T-shirt,Footwear,35,Illinois,XL,Yellow,Winter,2.6,No,Free Shipping,Yes,No,19,Debit Card,Quarterly
32,Male,Sweater,Accessories,70,Colorado,L,Green,Winter,4.2,Yes,2-Day Shipping,Yes,No,18,Cash,Weekly
24,Male,Hoodie,Clothing,47,Kentucky,S,Purple,Summer,2.9,No,2-Day Shipping,No,No,6,Cash,Monthly
42,Male,Sweater,Footwear,78,Colorado,XL,Gray,Spring,4.0,Yes,2-Day Shipping,No,Yes,29,Credit Card,Annually
35,Female,Jewelry,Accessories,44,Colorado,S,Red,Summer,4.9,Yes,Next Day Air,No,Yes,43,Venmo,Bi-Weekly
47,Female,Shorts,Clothing,63,Illinois,M,Blue,Fall,2.9,No,Free Shipping,No,No,6,Venmo,Quarterly
58,Female,T-shirt,Clothing,33,Kentucky,L,Purple,Winter,3.1,Yes,Next Day Air,No,Yes,43,PayPal,Weekly
41,Female,Jewelry,Clothing,73,Michigan,XL,Blue,Winter,3.9,Yes,2-Day Shipping,No,Yes,21,Venmo,Weekly
28,Male,Dress,Outerwear,25,Illinois,S,Red,Summer,4.2,No,2-Day Shipping,No,Yes,33,Credit Card,Bi-Weekly
41,Male,Jeans,Outerwear,95,Texas,S,Purple,Summer,2.9,Yes,Next Day Air,Yes,Yes,8,Cash,Annually
40,Female,Hoodie,Outerwear,35,Kentucky,M,Maroon,Summer,2.8,Yes,2-Day Shipping,Yes,Yes,2,PayPal,Annually
31,Female,Handbag,Footwear,77,Pennsylvania,XL,Green,Winter,2.7,No,2-Day Shipping,Yes,Yes,9,Cash,Monthly
60,Female,Scarf,Accessories,78,California,S,Maroon,Winter,4.3,No,Standard,Yes,Yes,49,Credit Card,Bi-Weekly
35,Male,Jewelry,Footwear,95,Michigan,L,Yellow,Winter,3.5,No,Express,Yes,No,7,Venmo,Annually
62,Male,Jacket,Footwear,84,Michigan,S,Beige,Fall,4.3,No,Express,No,No,16,Venmo,Monthly
61,Female,Sandals,Clothing,37,Georgia,L,Black,Summer,4.9,No,Express,Yes,No,5,Credit Card,Annually
59,Male,Sneakers,Clothing,83,Texas,S,Red,Winter,2.7,Yes,Free Shipping,No,No,12,PayPal,Monthly
22,Female,Sandals,Footwear,20,New York,XL,Green,Fall,4.8,Yes,Free Shipping,Yes,Yes,24,Venmo,Quarterly
56,Male,Hoodie,Accessories,87,Georgia,XL,Pink,Summer,4.7,No,Express,Yes,Yes,5,Cash,Bi-Weekly
58,Male,T-shirt,Outerwear,26,Georgia,XL,Beige,Spring,2.9,No,Express,No,Yes,10,Venmo,Quarterly
28,Male,Socks,Footwear,90,Texas,L,Red,Spring,3.6,Yes,Standard,No,No,37,Credit Card,Bi-Weekly
52,Female,Jewelry,Footwear,75,Florida,XL,Turquoise,Summer,4.2,No,Standard,No,No,16,Credit Card,Annually
64,Male,T-shirt,Accessories,94,Massachusetts,L,Purple,Summer,3.8,Yes,Next Day Air,No,No,50,Credit Card,Bi-Weekly
33,Male,Sneakers,Accessories,81,Michigan,L,White,Summer,3.8,Yes,Free Shipping,Yes,Yes,6,PayPal,Monthly
28,Male,Shorts,Footwear,85,Texas,L,Red,Spring,4.7,Yes,Free Shipping,Yes,No,5,PayPal,Weekly
47,Male,Handbag,Clothing,42,Washington,M,Blue,Fall,4.0,No,Express,Yes,Yes,1,Venmo,Monthly
42,Female,Hoodie,Clothing,94,Florida,S,Black,Spring,4.3,No,Free Shipping,Yes,Yes,47,Venmo,Monthly
35,Female,Handbag,Footwear,42,Illinois,L,Green,Winter,4.4,Yes,Standard,Yes,No,1,Cash,Every 3 Months
58,Female,Sweater,Clothing,36,Florida,L,Beige,Summer,4.8,Yes,Standard,Yes,No,48,Debit Card,Annually
62,Male,Sweater,Accessories,33,Michigan,S,Maroon,Spring,4.7,No,Express,Yes,No,22,Debit Card,Every 3 Months
53,Female,Sweater,Outerwear,69,California,XL,Pink,Summer,2.8,Yes,Express,Yes,Yes,40,Credit Card,Annually
32,Female,Sneakers,Accessories,96,Massachusetts,M,Black,Fall,3.9,Yes,2-Day Shipping,Yes,No,5,Credit Card,Weekly
61,Female,Socks,Outerwear,97,New York,S,White,Winter,4.5,Yes,Next Day Air,No,No,10,Debit Card,Weekly
38,Female,Hat,Footwear,61,Oregon,L,White,Spring,4.5,Yes,Express,Yes,No,38,Credit Card,Bi-Weekly
67,Female,Handbag,Footwear,84,Illinois,S,Gray,Fall,3.2,Yes,Express,No,Yes,41,Cash,Weekly
67,Female,Scarf,Outerwear,69,Rhode Island,L,White,Fall,3.0,No,Express,Yes,No,30,Debit Card,Weekly
21,Male,Sneakers,Clothing,73,Arizona,XL,Purple,Winter,4.4,Yes,Standard,Yes,No,41,Debit Card,Bi-Weekly
32,Male,Handbag,Footwear,97,Arizona,S,Blue,Winter,4.2,Yes,Next Day Air,Yes,Yes,22,Venmo,Weekly
70,Female,Sneakers,Outerwear,51,Florida,M,Black,Winter,2.5,Yes,2-Day Shipping,No,Yes,43,Cash,Monthly
20,Female,Socks,Clothing,55,Colorado,S,Purple,Fall,2.9,Yes,Express,No,No,7,PayPal,Bi-Weekly
69,Female,Socks,Outerwear,70,California,L,Yellow,Spring,3.7,No,Free Shipping,No,No,40,Cash,Weekly
38,Male,Shirt,Footwear,63,Ohio,L,Maroon,Fall,2.7,Yes,Next Day Air,No,Yes,8,PayPal,Quarterly
43,Male,Hoodie,Footwear,57,Kentucky,M,Yellow,Spring,4.4,Yes,Express,No,No,4,Venmo,Monthly
35,Male,Dress,Accessories,77,Oregon,L,Purple,Fall,3.5,No,Standard,Yes,No,46,Credit Card,Weekly
22,Male,Socks,Outerwear,37,Maine,L,Maroon,Winter,3.5,Yes,Standard,Yes,Yes,9,Debit Card,Every 3 Months
31,Female,Handbag,Clothing,37,Kentucky,L,Purple,Summer,3.2,Yes,Free Shipping,No,Yes,13,Cash,Every 3 Months
54,Male,Handbag,Footwear,72,New York,S,Red,Fall,3.6,No,2-Day Shipping,No,Yes,48,Venmo,Quarterly
63,Male,Jewelry,Accessories,97,Rhode Island,S,White,Fall,2.9,Yes,2-Day Shipping,No,Yes,6,Credit Card,Every 3 Months
38,Female,Hat,Accessories,85,Illinois,M,Maroon,Summer,3.0,No,Free Shipping,No,Yes,12,Cash,Weekly
31,Female,Dress,Clothing,58,Florida,M,Purple,Fall,2.8,Yes,Free Shipping,No,Yes,6,Credit Card,Quarterly
59,Female,Hat,Footwear,90,Oregon,XL,Pink,Fall,3.7,No,Next Day Air,No,Yes,46,Debit Card,Annually
49,Male,Blouse,Accessories,60,Arizona,L,Green,Fall,3.8,No,Standard,No,Yes,6,Debit Card,Every 3 Months
43,Female,T-shirt,Clothing,90,Kentucky,M,Blue,Fall,2.8,No,Standard,Yes,No,1,Debit Card,Monthly
59,Female,Socks,Clothing,100,Texas,L,Black,Fall,3.9,Yes,Next Day Air,Yes,Yes,28,PayPal,Weekly
47,Male,Sandals,Outerwear,47,Massachusetts,M,Red,Spring,3.0,No,Free Shipping,Yes,Yes,44,Debit Card,Monthly
27,Female,Pants,Outerwear,45,Oregon,XL,Maroon,Spring,3.0,No,Free Shipping,No,Yes,15,Venmo,Weekly
34,Female,Dress,Footwear,46,Kentucky,M,Beige,Spring,4.4,No,Free Shipping,Yes,No,14,Credit Card,Monthly
26,Female,Blouse,Accessories,99,Colorado,S,White,Fall,4.5,Yes,Standard,No,No,4,PayPal,Bi-Weekly
33,Female,Hat,Accessories,57,California,L,Pink,Fall,3.0,Yes,2-Day Shipping,No,No,46,Credit Card,Quarterly
65,Female,Jacket,Outerwear,64,Ohio,S,White,Spring,5.0,No,Free Shipping,No,Yes,6,Cash,Bi-Weekly
53,Male,Coat,Footwear,36,Michigan,M,Blue,Winter,4.7,No,Express,No,No,25,Credit Card,Every 3 Months
52,Male,Sweater,Accessories,42,Illinois,M,Beige,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Monthly
34,Female,Hat,Clothing,84,Colorado,XL,Pink,Fall,4.8,Yes,Express,No,Yes,41,Cash,Annually
65,Female,Shirt,Clothing,89,Pennsylvania,XL,Red,Fall,2.8,Yes,Express,No,Yes,34,PayPal,Weekly
55,Female,Handbag,Clothing,61,Arizona,XL,Black,Winter,4.1,No,Free Shipping,Yes,Yes,13,Cash,Every 3 Months
45,Female,Hoodie,Clothing,34,Maine,M,Blue,Spring,2.7,No,Express,Yes,No,31,Cash,Weekly
55,Female,Sneakers,Outerwear,65,Ohio,XL,Blue,Summer,2.7,Yes,Free Shipping,No,Yes,13,Credit Card,Weekly
43,Male,Coat,Footwear,91,Massachusetts,M,White,Winter,2.8,No,Express,No,Yes,46,PayPal,Bi-Weekly
41,Female,Sweater,Clothing,81,Oregon,M,Purple,Fall,2.7,Yes,Next Day Air,No,Yes,32,Debit Card,Bi-Weekly
32,Male,Sandals,Clothing,94,Maine,L,Pink,Winter,2.6,Yes,Standard,No,No,39,PayPal,Monthly
26,Female,Shorts,Accessories,93,Florida,S,Green,Winter,3.1,No,2-Day Shipping,Yes,Yes,46,Debit Card,Bi-Weekly
50,Female,Blouse,Outerwear,73,Georgia,L,Beige,Summer,3.7,Yes,2-Day Shipping,Yes,No,12,Venmo,Every 3 Months
49,Female,Scarf,Accessories,88,Massachusetts,S,Pink,Summer,4.4,Yes,Express,No,No,31,Debit Card,Annually
23,Male,Socks,Accessories,56,Colorado,S,Turquoise,Winter,2.5,Yes,Next Day Air,No,No,19,Debit Card,Every 3 Months
66,Female,Pants,Accessories,74,New York,M,Gray,Spring,3.2,Yes,Free Shipping,Yes,No,47,Venmo,Bi-Weekly
21,Male,Sneakers,Clothing,21,California,XL,Beige,Winter,4.9,Yes,2-Day Shipping,Yes,No,44,Venmo,Quarterly
25,Female,Pants,Footwear,86,Florida,XL,Yellow,Summer,4.2,Yes,Standard,Yes,Yes,38,Venmo,Annually
27,Female,Shorts,Outerwear,33,Georgia,XL,Pink,Summer,4.5,No,Free Shipping,No,Yes,4,Debit Card,Monthly
58,Male,Pants,Clothing,23,Kentucky,L,Turquoise,Summer,2.6,No,Free Shipping,No,No,29,Credit Card,Weekly
28,Male,Handbag,Outerwear,68,Rhode Island,XL,Purple,Summer,3.0,Yes,2-Day Shipping,Yes,Yes,12,Debit Card,Monthly
68,Female,Hat,Clothing,38,Texas,M,Green,Summer,4.5,No,Standard,Yes,No,33,Venmo,Quarterly
61,Female,Sweater,Footwear,26,Georgia,XL,Black,Fall,3.4,No,2-Day Shipping,No,Yes,1,Cash,Quarterly
45,Female,Sneakers,Footwear,27,Arizona,XL,Beige,Winter,3.8,No,Next Day Air,No,Yes,6,Cash,Weekly
56,Male,Handbag,Outerwear,45,Texas,XL,Yellow,Spring,4.9,No,Next Day Air,Yes,No,12,Credit Card,Every 3 Months
22,Male,Shorts,Accessories,54,Maine,L,Green,Spring,3.2,Yes,2-Day Shipping,No,Yes,13,Debit Card,Quarterly
42,Female,Jewelry,Clothing,40,California,M,White,Fall,3.7,No,2-Day Shipping,No,No,17,Debit Card,Bi-Weekly
42,Male,Socks,Outerwear,56,Arizona,XL,Beige,Winter,4.4,Yes,Free Shipping,Yes,Yes,10,Cash,Bi-Weekly
56,Female,Hat,Accessories,52,Rhode Island,S,Pink,Summer,4.0,Yes,Express,No,Yes,35,Debit Card,Bi-Weekly
47,Female,Handbag,Footwear,38,Washington,L,Purple,Summer,3.3,Yes,Standard,Yes,Yes,37,Credit Card,Every 3 Months
51,Female,Hoodie,Clothing,27,California,XL,Blue,Spring,4.2,Yes,Standard,No,Yes,13,Venmo,Annually
34,Male,Socks,Footwear,57,Colorado,XL,Purple,Spring,3.4,No,Standard,No,No,45,Cash,Quarterly
53,Male,Shirt,Clothing,46,Georgia,L,Yellow,Fall,3.3,Yes,Express,No,Yes,8,Credit Card,Every 3 Months
18,Male,Scarf,Accessories,89,Illinois,S,Beige,Winter,3.1,Yes,2-Day Shipping,Yes,Yes,45,Cash,Annually
61,Male,Jewelry,Clothing,24,Ohio,S,Gray,Winter,3.4,Yes,Express,No,No,49,Debit Card,Annually
64,Female,Socks,Accessories,65,New York,L,Pink,Summer,3.5,No,Free Shipping,No,Yes,5,Debit Card,Weekly
25,Male,Jewelry,Clothing,77,Maine,XL,Black,Winter,4.0,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Annually
61,Female,T-shirt,Outerwear,33,Washington,L,Red,Winter,,No,Next Day Air,Yes,No,12,PayPal,Bi-Weekly
52,Male,Jacket,Footwear,98,Rhode Island,L,Green,Fall,4.7,Yes,Express,No,No,21,Debit Card,Annually
66,Male,Hat,Clothing,91,Florida,L,Turquoise,Fall,4.5,No,Express,No,No,49,PayPal,Quarterly
35,Male,Shorts,Clothing,48,Colorado,L,Black,Summer,2.5,No,Standard,No,No,15,Venmo,Every 3 Months
67,Female,Coat,Footwear,91,Illinois,S,Turquoise,Fall,4.7,Yes,Free Shipping,Yes,Yes,11,Credit Card,Quarterly
59,Male,Jacket,Clothing,69,California,L,Yellow,Summer,3.5,No,Express,No,Yes,26,Venmo,Quarterly
39,Male,Jewelry,Footwear,50,Pennsylvania,XL,Beige,Fall,4.6,Yes,2-Day Shipping,Yes,No,41,Credit Card,Monthly
25,Female,Dress,Accessories,85,Maine,XL,White,Fall,4.8,Yes,2-Day Shipping,Yes,No,38,PayPal,Annually
36,Female,Coat,Outerwear,56,California,M,Blue,Spring,2.6,No,Next Day Air,No,No,19,Venmo,Monthly
45,Female,Dress,Outerwear,26,Rhode Island,M,Blue,Spring,2.8,No,Express,Yes,No,39,Credit Card,Bi-Weekly
28,Female,Dress,Footwear,68,Texas,L,Red,Fall,3.8,No,Free Shipping,Yes,Yes,27,Debit Card,Weekly
47,Female,Shorts,Outerwear,69,Michigan,M,Maroon,Fall,4.9,Yes,Next Day Air,Yes,No,33,PayPal,Weekly
18,Female,Hat,Footwear,73,Ohio,L,Beige,Fall,4.4,Yes,Next Day Air,Yes,No,41,Venmo,Quarterly
64,Male,Socks,Outerwear,60,Kentucky,S,Black,Spring,3.1,Yes,Standard,Yes,Yes,19,Venmo,Bi-Weekly
64,Female,Hat,Clothing,90,New York,S,Blue,Summer,3.6,No,Next Day Air,No,No,14,Cash,Weekly
34,Male,T-shirt,Clothing,26,Florida,S,White,Winter,4.2,No,Express,Yes,No,28,Debit Card,Every 3 Months
50,Female,Jewelry,Outerwear,21,Rhode Island,S,White,Fall,4.7,No,Free Shipping,Yes,Yes,17,Debit Card,Monthly
66,Male,Jacket,Accessories,52,Georgia,XL,Beige,Fall,3.8,No,Next Day Air,No,Yes,23,Venmo,Weekly
29,Male,Dress,Outerwear,45,Texas,S,Turquoise,Spring,4.2,No,Express,Yes,Yes,48,Cash,Annually
50,Male,Sandals,Clothing,99,Kentucky,S,White,Fall,2.5,Yes,2-Day Shipping,No,Yes,16,Cash,Monthly
24,Female,Jewelry,Outerwear,76,Maine,XL,Beige,Summer,4.1,Yes,2-Day Shipping,Yes,Yes,34,Venmo,Annually
58,Female,Hoodie,Clothing,48,Colorado,L,Purple,Winter,4.9,No,Free Shipping,No,Yes,1,Debit Card,Monthly
37,Female,Hoodie,Accessories,67,Oregon,M,Black,Fall,3.3,Yes,2-Day Shipping,Yes,Yes,42,Debit Card,Quarterly
58,Female,T-shirt,Accessories,95,Pennsylvania,L,Blue,Summer,4.1,No,2-Day Shipping,Yes,Yes,44,Cash,Annually
50,Male,Sneakers,Outerwear,89,Massachusetts,L,Black,Winter,4.7,No,2-Day Shipping,No,No,17,Cash,Weekly
56,Female,Dress,Clothing,97,Texas,M,Maroon,Spring,4.9,No,Next Day Air,No,No,19,PayPal,Monthly
30,Female,Sweater,Accessories,45,New York,S,Turquoise,Winter,4.3,No,Standard,Yes,Yes,49,Venmo,Quarterly
27,Female,Dress,Footwear,44,Colorado,S,Black,Summer,4.2,Yes,2-Day Shipping,No,Yes,11,Credit Card,Weekly
41,Male,Jeans,Outerwear,57,Massachusetts,S,Gray,Winter,3.1,No,Express,Yes,Yes,5,Venmo,Bi-Weekly
66,Female,T-shirt,Footwear,77,Ohio,S,Black,Winter,3.7,No,2-Day Shipping,No,No,4,Cash,Weekly
28,Female,Scarf,Outerwear,42,Maine,M,White,Spring,4.3,No,Express,No,Yes,5,Credit Card,Every 3 Months
52,Female,Jacket,Clothing,29,Maine,S,Green,Winter,4.5,No,2-Day Shipping,Yes,No,32,Venmo,Every 3 Months
67,Female,Hat,Clothing,43,Pennsylvania,S,Green,Spring,3.4,Yes,Standard,Yes,No,23,Credit Card,Every 3 Months
51,Female,Shorts,Footwear,42,Oregon,S,Pink,Fall,4.8,No,Next Day Air,Yes,No,47,Cash,Weekly
18,Female,Shorts,Clothing,85,Rhode Island,M,Blue,Winter,4.9,No,Express,Yes,No,4,Credit Card,Every 3 Months
56,Female,Jewelry,Clothing,35,Oregon,XL,Blue,Winter,3.7,No,Express,No,Yes,40,Debit Card,Bi-Weekly
38,Male,Jacket,Clothing,68,Colorado,M,Beige,Spring,4.1,Yes,Next Day Air,Yes,No,49,Credit Card,Quarterly
49,Male,Jewelry,Footwear,25,Texas,S,Gray,Winter,4.2,Yes,Standard,Yes,No,28,PayPal,Quarterly
19,Female,Jacket,Clothing,74,Ohio,M,Black,Summer,2.8,Yes,Next Day Air,No,No,6,PayPal,Every 3 Months
